mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.117484887441,4.725343207518086,0.01815199851989746,0.004865899895461957,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",-0.22111116304859338,-0.22089815549550357,-0.21254271134123437,-0.21818400996177711,0.003989948257728109,8
3.5263823668162027,0.4429766782040813,0.015269120534261068,0.0007096724971890974,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.21585937303138739,-0.22127365032971025,-0.21358051957466115,-0.2169045143119196,0.00322648471516344,4
5.596716960271199,1.041259150541328,0.01430217425028483,0.0014947584487111942,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",-0.21442928375870177,-0.22125909676336017,-0.21686912371901898,-0.21751916808036031,0.0028258927407616395,6
3.931009848912557,0.5656579211634373,0.0114288330078125,0.001548023223367769,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",-0.2157461579940875,-0.22108944634148872,-0.21679093578750572,-0.21787551337436065,0.0023122736281705448,7
3.6736868222554526,0.2622038277539514,0.026534636815388996,0.009476711254231855,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",-0.21262502241434153,-0.21630650775546992,-0.21215295515813706,-0.2136948284426495,0.0018567648385216847,2
12.170363028844198,0.18095140937025672,0.018066247304280598,0.009200877307783215,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.2180141934022209,-0.22015323952213117,-0.2172856820798109,-0.21848437166805432,0.0012169694935914126,9
7.838316996892293,0.7888457678842252,0.012009064356486002,0.0008454340370969455,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",-0.2246692902003125,-0.22601872581763285,-0.22311932789970818,-0.22460244797255116,0.0011846175146928407,10
3.139610211054484,0.6774758908552322,0.014585256576538086,0.001907978261896184,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.2197090785666746,-0.21812130508000652,-0.21335658980236225,-0.21706232448301446,0.002699334276419888,5
15.128533045450846,4.007769311475847,0.03806861241658529,0.006943878827977626,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",-0.21251303431211965,-0.2204758113396736,-0.21394215910815179,-0.21564366825331502,0.00346629528708877,3
16.84760506947835,4.260973887388789,0.012545267740885416,0.0015167435895102365,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",-0.21030387120345087,-0.21789940361219928,-0.21097106173535696,-0.21305811218366902,0.003434128984515735,1
