id,price,price_per_guest,accommodates,room_type,neighbourhood_cleansed,minimum_nights,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost,host_response_rate,host_acceptance_rate
39296422,657.0,328.5,2.0,Entire home/apt,Benito Juárez,2.0,132.0,162.0,106434.0,t,1.0,0.96
930400044847087964,415.0,207.5,2.0,Entire home/apt,Cuauhtémoc,1.0,268.0,0.0,0.0,f,0.83,0.46
42004336,857.0,285.6666666666667,3.0,Private room,Benito Juárez,1.0,270.0,114.0,97698.0,f,1.0,1.0
22906170,708.0,354.0,2.0,Private room,Cuauhtémoc,3.0,313.0,84.0,59472.0,t,1.0,1.0
23418120,666.0,333.0,2.0,Private room,Tlalpan,1.0,299.0,42.0,27972.0,t,1.0,1.0
934842581628815699,1690.0,845.0,2.0,Private room,Miguel Hidalgo,1.0,22.0,78.0,131820.0,t,1.0,1.0
16771423,600.0,300.0,2.0,Private room,Cuauhtémoc,1.0,365.0,0.0,0.0,f,0.0,0.0
788573371299411256,2466.0,308.25,8.0,Entire home/apt,Miguel Hidalgo,1.0,122.0,126.0,310716.0,f,1.0,1.0
48323344,500.0,250.0,2.0,Entire home/apt,Benito Juárez,10.0,363.0,0.0,0.0,f,0.0,0.0
51783308,329.0,164.5,2.0,Private room,Cuauhtémoc,5.0,251.0,255.0,83895.0,,0.87,0.85
1112723398840327339,579.0,579.0,1.0,Private room,Cuauhtémoc,1.0,269.0,0.0,0.0,f,,0.0
760221185232149468,2000.0,1000.0,2.0,Private room,Cuauhtémoc,1.0,182.0,90.0,180000.0,t,0.96,1.0
1329391851680842987,759.0,189.75,4.0,Entire home/apt,Cuauhtémoc,1.0,175.0,84.0,63756.0,t,,
41215451,2028.0,507.0,4.0,Entire home/apt,Cuauhtémoc,3.0,228.0,42.0,85176.0,t,1.0,0.8
9615553,478.0,239.0,2.0,Entire home/apt,Cuauhtémoc,1.0,322.0,150.0,71700.0,f,1.0,1.0
1264583176829209338,2700.0,900.0,3.0,Entire home/apt,Cuauhtémoc,1.0,349.0,30.0,81000.0,f,,1.0
1156394844655993340,1550.0,387.5,4.0,Entire home/apt,Cuauhtémoc,30.0,347.0,255.0,395250.0,f,0.99,1.0
1349606110807067374,592.0,148.0,4.0,Entire home/apt,Venustiano Carranza,1.0,87.0,18.0,10656.0,f,1.0,1.0
39767634,591.0,591.0,1.0,Private room,Miguel Hidalgo,2.0,54.0,42.0,24822.0,f,0.5,0.69
1190884079214352534,1062.0,265.5,4.0,Entire home/apt,Cuauhtémoc,5.0,209.0,255.0,270810.0,t,1.0,1.0
19052943,3895.0,649.1666666666666,6.0,Entire home/apt,Miguel Hidalgo,1.0,193.0,90.0,350550.0,t,1.0,1.0
987756101639726741,1006.0,335.3333333333333,3.0,Entire home/apt,Miguel Hidalgo,1.0,267.0,204.0,205224.0,t,1.0,1.0
17759068,388.0,388.0,1.0,Private room,Benito Juárez,2.0,337.0,174.0,67512.0,t,1.0,1.0
1066314304633488011,409.0,409.0,1.0,Private room,Benito Juárez,4.0,176.0,0.0,0.0,t,1.0,0.91
1153084389939507329,1576.0,394.0,4.0,Entire home/apt,Miguel Hidalgo,1.0,319.0,255.0,401880.0,t,1.0,1.0
1272652076489896869,854.0,284.6666666666667,3.0,Entire home/apt,Cuauhtémoc,1.0,72.0,48.0,40992.0,f,0.99,1.0
21725370,890.0,890.0,1.0,Private room,Benito Juárez,2.0,363.0,0.0,0.0,f,,
37824501,2280.0,1140.0,2.0,Entire home/apt,Miguel Hidalgo,1.0,365.0,255.0,581400.0,,1.0,1.0
766073233666194481,897.0,448.5,2.0,Entire home/apt,Cuauhtémoc,1.0,329.0,192.0,172224.0,,1.0,1.0
